case_id,timestamp,activity,resource
CLIENT001,2024-03-01 09:00:00,Application Received,Sales Team
CLIENT001,2024-03-01 10:00:00,KYC Verification,Compliance Team
CLIENT001,2024-03-01 14:00:00,Account Setup,IT Team
CLIENT001,2024-03-02 10:00:00,Welcome Call,Account Manager
CLIENT001,2024-03-04 14:00:00,Training Session,Training Team
CLIENT001,2024-03-05 09:00:00,Go Live,IT Team
CLIENT002,2024-03-01 11:00:00,Application Received,Sales Team
CLIENT002,2024-03-04 09:00:00,KYC Verification,Compliance Team
CLIENT002,2024-03-04 11:00:00,Additional Docs Requested,Compliance Team
CLIENT002,2024-03-07 14:00:00,Docs Received,Sales Team
CLIENT002,2024-03-08 09:00:00,KYC Verification,Compliance Team
CLIENT002,2024-03-08 14:00:00,Account Setup,IT Team
CLIENT002,2024-03-11 10:00:00,Welcome Call,Account Manager
CLIENT002,2024-03-13 14:00:00,Training Session,Training Team
CLIENT002,2024-03-14 09:00:00,Go Live,IT Team
CLIENT003,2024-03-02 09:00:00,Application Received,Sales Team
CLIENT003,2024-03-02 10:00:00,KYC Verification,Compliance Team
CLIENT003,2024-03-02 10:30:00,KYC Failed,Compliance Team
CLIENT003,2024-03-05 09:00:00,KYC Verification,Compliance Team
CLIENT003,2024-03-05 11:00:00,Account Setup,IT Team
CLIENT003,2024-03-06 10:00:00,Welcome Call,Account Manager
CLIENT003,2024-03-08 14:00:00,Training Session,Training Team
CLIENT003,2024-03-09 09:00:00,Go Live,IT Team
CLIENT004,2024-03-04 08:00:00,Application Received,Sales Team
CLIENT004,2024-03-04 09:00:00,KYC Verification,Compliance Team
CLIENT004,2024-03-04 11:00:00,Account Setup,IT Team
CLIENT004,2024-03-05 10:00:00,Account Setup Failed,IT Team
CLIENT004,2024-03-07 09:00:00,Account Setup,IT Team
CLIENT004,2024-03-07 11:00:00,Welcome Call,Account Manager
CLIENT004,2024-03-11 14:00:00,Training Session,Training Team
CLIENT004,2024-03-12 09:00:00,Go Live,IT Team
CLIENT005,2024-03-05 09:00:00,Application Received,Sales Team
CLIENT005,2024-03-05 10:00:00,KYC Verification,Compliance Team
CLIENT005,2024-03-05 12:00:00,Account Setup,IT Team
CLIENT005,2024-03-06 09:00:00,Welcome Call,Account Manager
CLIENT005,2024-03-08 14:00:00,Training Session,Training Team
CLIENT005,2024-03-09 09:00:00,Training Session,Training Team
CLIENT005,2024-03-10 09:00:00,Go Live,IT Team
CLIENT006,2024-03-06 09:00:00,Application Received,Sales Team
CLIENT006,2024-03-11 09:00:00,KYC Verification,Compliance Team
CLIENT006,2024-03-11 11:00:00,Account Setup,IT Team
CLIENT006,2024-03-12 10:00:00,Welcome Call,Account Manager
CLIENT006,2024-03-14 14:00:00,Training Session,Training Team
CLIENT006,2024-03-15 09:00:00,Go Live,IT Team
